Reference, Value, Footprint, Datasheet, Description, Digikey Part Number, Height, Manufacturer, Manufacturer part number, Mouser Part Number, Mouser Price/Stock, Price
"J1","502078-1710","Horace:5020781710","https://componentsearchengine.com/Datasheets/2/502078-1710.pdf","250UM FPC E/O Hsg Assy 17Ckt EmbsTpPkg","WM14446TR-ND","1.15","Molex","502078-1710","538-502078-1710","https://www.mouser.co.uk/ProductDetail/Molex/502078-1710/?qs=qM7ngqbhX5VeJKt0xqlhhA%3D%3D","1.68"
"J2","Conn_01x18_Male","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical","https://www.mouser.ee/datasheet/2/276/0022284183_PCB_HEADERS-159024.pdf","","WM50016-18-ND","","","0022284183","538-22-28-4183","https://www.mouser.ee/ProductDetail/Molex/22-28-4183?qs=LinZCy4NUiGDn1gX4QTPKQ%3D%3D","1.02"
