"Source:","C:\Users\Vadim\Projects\Horace\sensor\sensor.kicad_sch"
"Date:","24.11.2022 15:50:27"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Digikey Part Number","Height","Manufacturer","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser part number","Mouser parts/stock","Price"


"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Digikey Part Number","Height","Manufacturer","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser part number","Mouser parts/stock","Price"
"1","2","C1, C2","10pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3777-2-ND","","Yageo","CC0402KRNPO7BN100","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.1"
"2","1","C3","47pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3751-2-ND","","Yageo","CC0402JRNPO8BN470","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"3","6","C4, C14, C15, C17, C18, C21","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
"4","6","C5, C8, C12, C13, C16, C20","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1729-2-ND","","Yageo","CC0402MRX5R5BB106","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"5","2","C6, C7","47nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1688-2-ND","","Yageo","CC0402KRX5R6BB473","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"6","3","C9, C10, C19","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3340-2-ND","","Yageo","CC0402KRX5R5BB104","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","","","0.09"
"7","1","C11","1nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","13-CC0402JRNPO7BN102TR-ND","","Yageo","CC0402JRNPO7BN102","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"8","1","D1","RLD65NZX1-00A","Horace:RLD65NZX1-00A","Horace:RLD85PZJ400A","https://fscdn.rohm.com/en/products/databook/datasheet/opto/laser_diode/red/rld65pzx300a012-e.pdf","","","635nm Red Single Mode Laser Diode","","4.6","","","ROHM Semiconductor","RLD65NZX1-00A","755-RLD65NZX1-00A","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/RLD65NZX1-00A?qs=vmHwEFxEFR8OdK%252BWr0L3QQ%3D%3D","","",""
"9","2","D2, D3","VEMD8081","Horace:VEMD8081","Horace:VEMD8081","https://www.vishay.com/docs/80218/vemd8081.pdf","","","High speed and high sensitive PIN photodiode with enhanced sensitivity for visible light, 4.8 x 2.5 x 0.48 package, Radiant sensitive area (in mm2): 5.4","","0.53","","","Vishay","VEMD8081","78-VEMD8081","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/VEMD8081?qs=hd1VzrDQEGhZjg8mME3%2FzQ%3D%3D","","",""
"10","1","IC1","MAX30002CWV+","Horace:MAX30002CWV+","Horace:MAX30002CWV","https://componentsearchengine.com/Datasheets/1/MAX30002CWV+.pdf","","","Analog Front End - AFE Bio Potential AFE","MAX30002CWV+-ND","0.69","","","Maxim Integrated","MAX30002CWV+","700-MAX30002CWV+","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX30002CWV%2b?qs=gTYE2QTfZfRSACHOszRGvQ%3D%3D","","",""
"11","1","IC2","LP5900TLX-2.7_NOPB","Horace:LP5900TLX-2.7_NOPB","Horace:BGA4C50P2X2_105X108X68","http://www.ti.com/lit/gpn/LP5900","","","150mA Ultralow-Noise LDO for RF and Analog Circuits Requires No Bypass Capacitor","","0.675","","","Texas Instruments","LP5900TLX-2.7/NOPB","926-LP5900TLX27NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LP5900TLX-27-NOPB?qs=8uBHJDVwVqwI%252Br0sr7pGhg%3D%3D","","",""
"12","1","IC3","MAX86141ENP+T","sensor-rescue:MAX86141ENP+-Horace","Horace:BGA20C40P5X4_205X185X50","https://www.mouser.ee/datasheet/2/256/MAX86140-1139682.pdf","","","MAXIM INTEGRATED PRODUCTS - MAX86141ENP+ - PULSE OXIMETER/HEART RATE SENSOR, WLP-20","MAX86141ENP+TCT-ND","0.5","Maxim Integrated","MAX86141ENP+T","Maxim Integrated","MAX86141ENP+","700-MAX86141ENP+T","https://www.mouser.ee/ProductDetail/Maxim-Integrated/MAX86141ENP%2bT?qs=1mbolxNpo8eXAkUx4%252BsdhQ%3D%3D","","","6.25"
"13","1","IC4","SIT1532AC","Horace:SIT1532AC-J5-DCC-32.768D","Horace:SIT1532ACJ5DCC32768D","https://www.sitime.com/datasheet/SiT1532","SIT1532AC-J5-DCC-32.768D","https://www.arrow.com/en/products/sit1532acj5dcc32.768d/sitime?region=nac","Oscillator MEMS 0.032768MHz +/-75ppm (Stability) LVCMOS 52% 1.8V/2.5V/3.3V 4-Pin CSP SMD T/R","","0.6","","","SiTime","SIT1532AC-J5-DCC-32.768D","788-1532ACJ5DCC32.7D","https://www.mouser.co.uk/ProductDetail/SiTime/SIT1532AC-J5-DCC-32768D?qs=dMZC7um9hO%2FgFQ4wFMXsCg%3D%3D","","",""
