"Source:","C:\Users\Vadim\Projects\Horace\sensor\sensor.kicad_sch"
"Date:","24.11.2022 15:50:27"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Digikey Part Number","Height","Manufacturer","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser part number","Mouser parts/stock","Price"
"","","C15","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
"","","C16","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1729-2-ND","","Yageo","CC0402MRX5R5BB106","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C17","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
"","","C18","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
"","","C19","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3340-2-ND","","Yageo","CC0402KRX5R5BB104","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","","","0.09"
"","","C20","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1729-2-ND","","Yageo","CC0402MRX5R5BB106","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C21","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
"","","D1","RLD65NZX1-00A","Horace:RLD65NZX1-00A","Horace:RLD85PZJ400A","https://fscdn.rohm.com/en/products/databook/datasheet/opto/laser_diode/red/rld65pzx300a012-e.pdf","","","635nm Red Single Mode Laser Diode","","4.6","","","ROHM Semiconductor","RLD65NZX1-00A","755-RLD65NZX1-00A","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/RLD65NZX1-00A?qs=vmHwEFxEFR8OdK%252BWr0L3QQ%3D%3D","","",""
"","","D2","VEMD8081","Horace:VEMD8081","Horace:VEMD8081","https://www.vishay.com/docs/80218/vemd8081.pdf","","","High speed and high sensitive PIN photodiode with enhanced sensitivity for visible light, 4.8 x 2.5 x 0.48 package, Radiant sensitive area (in mm2): 5.4","","0.53","","","Vishay","VEMD8081","78-VEMD8081","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/VEMD8081?qs=hd1VzrDQEGhZjg8mME3%2FzQ%3D%3D","","",""
"","","D3","VEMD8081","Horace:VEMD8081","Horace:VEMD8081","https://www.vishay.com/docs/80218/vemd8081.pdf","","","High speed and high sensitive PIN photodiode with enhanced sensitivity for visible light, 4.8 x 2.5 x 0.48 package, Radiant sensitive area (in mm2): 5.4","","0.53","","","Vishay","VEMD8081","78-VEMD8081","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/VEMD8081?qs=hd1VzrDQEGhZjg8mME3%2FzQ%3D%3D","","",""
"","","IC1","MAX30002CWV+","Horace:MAX30002CWV+","Horace:MAX30002CWV","https://componentsearchengine.com/Datasheets/1/MAX30002CWV+.pdf","","","Analog Front End - AFE Bio Potential AFE","MAX30002CWV+-ND","0.69","","","Maxim Integrated","MAX30002CWV+","700-MAX30002CWV+","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX30002CWV%2b?qs=gTYE2QTfZfRSACHOszRGvQ%3D%3D","","",""
