Reference, Value, Footprint, Datasheet, Description, Digikey Part Number, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Price, Arrow Part Number, Arrow Price/Stock
"S1","434153017835","Horace:434153017835","http://katalog.we-online.de/em/datasheet/434153017835.pdf","Tactile Switches WS-TASV SMD Switch 3.5x2.9 x1.7mm Jbend","732-10143-2-ND","1","Wurth Elektronik","434153017835","710-434153017835","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/434153017835/?qs=DvsTirrhYfPgFeivYdn0UQ%3D%3D","0.48","",""
"L3","2.2uH","Horace:INDC2016X120N","https://www.mouser.ee/datasheet/2/281/product-1023381.pdf","","490-DFE201612E-2R2M=P2TR-ND","","","","","https://www.mouser.ee/ProductDetail/Murata-Electronics/DFE201612P-2R2M%3dP2/?qs=%2Fha2pyFaduhDMB9FqGGWmW3y8M6ls3Bibujj9r4U8b3tqaIlkOgNCGho6h%252BBF%252BdB","0.36","",""
"C14","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"C10","2u2","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-1682-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB225/?qs=57cj7OiSijmaHmQx141m%252Bg%3D%3D","0.32","",""
"C13","2u2","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-1682-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB225/?qs=57cj7OiSijmaHmQx141m%252Bg%3D%3D","0.32","",""
"D2","MAX40200ANS+T","Horace:BGA4C35P2X2_73X73X50","https://datasheets.maximintegrated.com/en/ds/MAX40200.pdf","MAXIM INTEGRATED PRODUCTS - MAX40200ANS+T - IDEAL DIODE, 1.5V-5.5V, WLP-4","MAX40200ANS+TTR-ND","0.5","Maxim Integrated","MAX40200ANS+T","700-MAX40200ANS+T","https://www.mouser.ee/ProductDetail/Maxim-Integrated/MAX40200ANS%2bT/?qs=o2C7DKDMuStFdKBeE9H2hA%3D%3D","0.75","",""
"R8","10k","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcw01005e3-1762154.pdf","","541-4276-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW010010K0JREL/?qs=sGAEpiMZZMvdGkrng054txORKzL4v1dj6%252BCtVKBihJgYoUo1WvZr%252BA%3D%3D","0.14","",""
"R9","10k","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcw01005e3-1762154.pdf","","541-4276-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW010010K0JREL/?qs=sGAEpiMZZMvdGkrng054txORKzL4v1dj6%252BCtVKBihJgYoUo1WvZr%252BA%3D%3D","0.14","",""
"R11","3k3","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcwce3-1762584.pdf","","541-4080-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW04023K30FKEDC/?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmE%2FggEcOhSNvA%2F5ngj%2FfFFA%3D%3D","0.09","",""
"C16","22uF","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB226/?qs=1mbolxNpo8feUBij0j9URA%3D%3D","0.38","",""
"C17","22uF","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB226/?qs=1mbolxNpo8feUBij0j9URA%3D%3D","0.38","",""
"C18","22uF","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB226/?qs=1mbolxNpo8feUBij0j9URA%3D%3D","0.38","",""
"C19","22uF","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB226/?qs=1mbolxNpo8feUBij0j9URA%3D%3D","0.38","",""
"C20","22uF","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB226/?qs=1mbolxNpo8feUBij0j9URA%3D%3D","0.38","",""
"C21","22uF","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB226/?qs=1mbolxNpo8feUBij0j9URA%3D%3D","0.38","",""
"IC1","MAX14689EWL+T","Horace:BGA9C40P3X3_124X124X69","https://datasheets.maximintegrated.com/en/ds/MAX14689.pdf","Analog Switch ICs High BW 5V Capable DPDT Analog Switches","175-MAX14689EWL+TTR-ND","0.69","Maxim Integrated","MAX14689EWL+T","700-MAX14689EWL+T","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX14689EWL%2bT?qs=jKHy77vQLH2WsIix%2FYfctQ%3D%3D","2.28","",""
"IC2","MAX14689EWL+T","Horace:BGA9C40P3X3_124X124X69","https://datasheets.maximintegrated.com/en/ds/MAX14689.pdf","Analog Switch ICs High BW 5V Capable DPDT Analog Switches","175-MAX14689EWL+TTR-ND","0.69","Maxim Integrated","MAX14689EWL+T","700-MAX14689EWL+T","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX14689EWL%2bT?qs=jKHy77vQLH2WsIix%2FYfctQ%3D%3D","2.28","",""
"IC3","MAX14689EWL+T","Horace:BGA9C40P3X3_124X124X69","https://datasheets.maximintegrated.com/en/ds/MAX14689.pdf","Analog Switch ICs High BW 5V Capable DPDT Analog Switches","175-MAX14689EWL+TTR-ND","0.69","Maxim Integrated","MAX14689EWL+T","700-MAX14689EWL+T","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX14689EWL%2bT?qs=jKHy77vQLH2WsIix%2FYfctQ%3D%3D","2.28","",""
"J2","DX07S024JJ3R1300","Horace:DX07S024JJ3R1300","https://www.mouser.ee/datasheet/2/206/B-0297-4E_0301-2E_DX07-1218577.pdf","","670-2846-2-ND","","","","","https://www.mouser.ee/ProductDetail/JAE-Electronics/DX07S024JJ3R1300/?qs=%2Fha2pyFaduhsAyGD7ZqdDVP999%2FVQLOCvH%2FzA3%2FNNo2GtQuLdwltfg%3D%3D","2.07","",""
